X,Y,X_,Y_
113.1912755,23.17349628,113.1858932,23.17610166
113.1912809,23.17259341,113.1858987,23.17519913
113.1912863,23.17169054,113.1859042,23.17429661
113.1912918,23.17078766,113.1859097,23.17339409
